Batch Information
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode
"2017-12-13 20:39:42",1328,"P112","Roose","02_06","2017-12-13 12:36:00","2017-12-13 20:39:43","Roose Pro 112 Mandarin ",23,1328,"Disabled"

Fruit
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Red,Red/Orange,Dark Orange,Orange,Orange/Yellow,Yellow/Green,Green,Dark Green,Light Scar,Dark Scar,Start of Batch,Conveyor,Texture,Stem,Stem Rot,Dark Scar_duplicate_column_1,Light Scar_duplicate_column_1,Ignore,Overall Roundness,Trapeziod Angle (Deg),Stem angle,Stem Area,Smoothness,Flatness,Elongation,Volume (ml),Minor Diameter (mm),Major Diameter (mm),Touching Factor,Double Factor,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,IQS 3 avg,IQS 4 avg,Fruit,Rough skin,Ridges,Creases,Major Diameter (mm)_duplicate_column_1,Minor Diameter (mm)_duplicate_column_1,Volume (ml)_duplicate_column_1,Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
"2017-12-13 20:39:58",335,1,145.4,21.8,61.8,83.6,0,73.5,71,190.5,3,"D",6,4,1,13,29,1328,"mamm","D St","Q1",0,0,0,0,0,0,0,0,236.4,1,0,1,28,"D",1,0,0,0,0,0,1.0038,0,0,0,0.0561,98.9382,0,7663.21,6987.8291,77.4223,0,0,597.9589,98.7473,180,168.1624,0,95.186,3.7933,1.2639,190.4969,70.9976,73.46,0,0,12.4258,136.3321,13.56,43.94,41.57,27.58,100,0,0,0,73.46,70.9976,190.4969,241,757847,3.1873,-2.2853
"2017-12-13 20:40:48",796,1,128.1,22.7,52.7,75.4,0,65.3,63.7,134.2,0,"A",5,1,1,218,156,1328,"jumb","A","Q1",0,0,0,0,0,0,0,0,236.2,1,0,1,28,"A",1,0.64,0.099,71.5838,27.5588,0.0773,0.0145,0,0,0,0.0121,0.0072,0,273.0786,0,9.1746,0,0,263.9041,97.0803,180,169.7702,0,100,4.7038,2.9656,134.2252,63.7209,65.2849,0,0,19.5192,101.6901,12.51,206.66,9.63,27.75,100,0,0,0,65.2849,63.7209,134.2252,190,758308,5.4719,-3.3746
"2017-12-13 20:40:48",802,1,104.9,37.2,33.85,71.05,0,61.2,58.2,110.5,0,"A",4,1,1,224,162,1328,"larg","A","Q1",0,0,0,0,0,0,0,0,236.5,1,0,1,28,"A",1,0.6776,0.1377,71.1877,27.2119,0.3526,0.0193,0.3195,0,0,0,0.0771,0,281.5847,100.6047,2.5973,0,0,178.3825,96.7078,180,169.435,0,100,3.5742,3.3505,110.479,58.1919,61.1557,0,0,1.6629,139.678,13.32,159.92,5.79,33.87,94.4444,5.5556,0,0,61.1557,58.1919,110.479,196,758314,1.7919,-1.5153
"2017-12-13 20:40:49",803,1,88.6,23.3,32.65,55.95,0,59.3,57.4,91.8,0,"A",4,1,1,225,163,1328,"larg","A","Q1",0,0,0,0,0,0,0,0,235.9,1,0,1,28,"A",1,0.1109,0.1712,79.1626,19.8295,0.3709,0.1934,0.1046,0,0,0,0.0349,0,169.8161,52.4297,38.4164,0,0,78.97,93.0024,180,150.7526,0,100,14.3237,6.5804,91.757,57.4141,59.3155,0,0,3.1007,109.3652,12.62,165.855,7.47,31.965,82.3529,0,0,17.6471,59.3155,57.4141,91.757,197,758315,3.9676,-1.0333
"2017-12-13 20:40:49",808,1,79.2,16.2,31.5,47.7,0,55.6,52.1,81.5,0,"A",3,1,1,230,168,1328,"medi","A","Q1",0,0,0,0,0,0,0,0,236.4,1,0,1,28,"A",1,0.4318,0.1987,76.0134,23.3149,0.0103,0,0,0,0,0,0.0103,0,109.5894,0,9.3232,0,0,100.2662,96.9124,164.1305,172.4557,0,100,4.9848,3.1356,81.4966,52.1045,55.6194,0,0,21.8765,38.8623,12.805,149.08,2.57,33.975,100,0,0,0,55.6194,52.1045,81.4966,202,758320,2.1162,-3.1216
"2017-12-13 20:40:49",811,1,127.4,40.1,43.65,83.75,0,65.9,63,133.2,0,"A",5,1,1,233,171,1328,"jumb","A","Q1",0,0,0,0,0,0,0,0,236.5,1,0,1,28,"A",1,0.4363,0.0848,77.0528,22.031,0.2714,0.0509,0.0364,0,0,0,0.0242,0,125.4882,0,10.2307,0,0,115.2575,96.1047,180,153.6318,0,100,6.8724,3.9753,133.1562,62.9565,65.9156,0,0,19.1766,103.2311,12.655,205.945,6.98,24.77,90.4762,0,0,9.5238,65.9156,62.9565,133.1562,205,758323,4.0898,-2.7742
"2017-12-13 20:40:50",815,1,133.3,27,53.15,80.15,0,66.1,65.3,136.7,0,"A",5,1,1,237,175,1328,"jumb","A","Q1",0,0,0,0,0,0,0,0,236.7,1,0,1,28,"A",1,0.4361,0.094,76.8124,22.2262,0.2409,0.1735,0.0048,0,0,0,0.0024,0,128.3409,0,3.9772,0,0,124.3637,96.1198,180,163.3618,0,100,10.698,3.5382,136.6745,65.2774,66.1168,0,0,21.788,67.6498,13.475,206.375,4.84,28.46,85,5,0,10,66.1168,65.2774,136.6745,209,758327,2.0603,-2.7048
"2017-12-13 20:40:50",816,1,183.5,28.2,77.65,105.85,0,75.8,74.7,196.6,0,"A",6,1,1,238,176,1328,"mamm","A","Q1",0,0,0,0,0,0,0,0,238.1,1,0,1,28,"A",1,0.4703,0.0588,76.6407,22.2367,0.3748,0.169,0.0055,0,0,0,0.0386,0,613.0303,226.36,6.1094,0,0,380.5609,94.1434,180,178.0244,0,100,14.1274,4.7844,196.5829,74.726,75.8152,0,0,4.1141,132.8864,12.725,300.99,4.4,35.11,86.3636,13.6364,0,0,75.8152,74.726,196.5829,210,758328,1.8129,-1.9218
"2017-12-13 20:40:50",818,1,112.2,28.5,41.85,70.35,0,62.9,61.5,120,0,"A",4,1,1,240,178,1328,"larg","A","Q1",0,0,0,0,0,0,0,0,235.9,1,0,1,28,"A",1,0.4693,0.07,71.1026,27.9302,0.376,0.0104,0.013,0,0,0,0.0233,0,338.6975,255.4864,0,0,0,83.2111,95.5682,180,163.4283,0,100,4.0029,4.5342,120.036,61.4865,62.9068,0,0,2.5865,132.035,13.05,170.57,3.51,31.575,89.4737,0,0,10.5263,62.9068,61.4865,120.036,212,758330,2.4563,-2.2132
"2017-12-13 20:40:50",819,1,126.4,23.7,51.35,75.05,0,65.9,64.1,130.9,0,"A",5,1,1,241,179,1328,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.9,1,0,1,28,"A",1,0.1577,0.064,81.9407,17.4878,0.2094,0.1084,0,0,0,0,0.0222,0,148.2962,46.4705,3.3627,0,0,98.463,93.899,180,172.7044,0,100,11.2816,5.1214,130.9139,64.0715,65.9282,0,0,21.8033,118.8747,12.77,181.54,4.78,32.615,94.7368,5.2632,0,0,65.9282,64.0715,130.9139,213,758331,1.7615,-2.1673
