Batch Information
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode
"2017-12-13 20:13:19",1321,"P112","Roose","03_23","2017-12-13 12:09:47","2017-12-13 20:13:19","Roose Pro 112 Mandarin ",23,1321,"Disabled"

Fruit
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Red,Red/Orange,Dark Orange,Orange,Orange/Yellow,Yellow/Green,Green,Dark Green,Light Scar,Dark Scar,Start of Batch,Conveyor,Texture,Stem,Stem Rot,Dark Scar_duplicate_column_1,Light Scar_duplicate_column_1,Ignore,Overall Roundness,Trapeziod Angle (Deg),Stem angle,Stem Area,Smoothness,Flatness,Elongation,Volume (ml),Minor Diameter (mm),Major Diameter (mm),Touching Factor,Double Factor,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,IQS 3 avg,IQS 4 avg,Fruit,Rough skin,Ridges,Creases,Major Diameter (mm)_duplicate_column_1,Minor Diameter (mm)_duplicate_column_1,Volume (ml)_duplicate_column_1,Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
"2017-12-13 20:13:34",428,1,142,29.4,56.3,85.7,0,73.8,70.9,192.4,3,"D",6,4,1,254,118,1321,"mamm","D St","Q1",0,0,0,0,0,0,0,0,236,1,0,1,28,"D",1,0.0019,0,0,0,0,0.6835,0.0038,0,0.0113,0.0979,99.1997,0,9365.2002,8840.5654,0,0,0,524.6346,98.6381,180,173.5701,0,100,3.7001,1.3727,192.4284,70.9191,73.8273,0,0,22.9578,136.1613,16.59,31.72,0,27.04,100,0,0,0,73.8273,70.9191,192.4284,226,743240,3.3262,-2.8754
"2017-12-13 20:14:24",894,1,110.8,31,39.9,70.9,0,61.9,59.8,113.3,0,"A",4,1,1,208,250,1321,"larg","A","Q1",0,0,0,0,0,0,0,0,235.4,1,0,1,28,"A",1,0.4386,0.233,71.0452,28.1818,0.0713,0.011,0,0.0027,0,0.011,0,0,147.8498,45.6474,1.4393,0,0,100.7631,96.9394,180,169.8383,0,100,6.4256,3.1144,113.2695,59.7747,61.9453,0,0,25.5215,65.8125,13.375,154.785,6.13,31.395,100,0,0,0,61.9453,59.7747,113.2695,180,743706,2.4264,-3.3548
"2017-12-13 20:14:25",900,1,139.1,24.4,57.35,81.75,0,68.4,66.2,147.4,0,"A",5,1,1,214,256,1321,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.9,1,0,1,28,"A",1,0.6066,0.1601,61.5893,36.7533,0.5119,0.1285,0.1917,0,0,0,0.0519,0,184.0538,83.8621,3.348,0,0,96.8437,95.527,180,166.6351,0,100,7.9487,4.2753,147.3564,66.1966,68.4051,0,0,5.7014,113.3065,13.34,217.805,12.11,27.455,75,10,0,15,68.4051,66.1966,147.3564,186,743712,3.6576,-3.0571
"2017-12-13 20:14:26",908,1,105.5,23.8,40.85,64.65,0,60.4,59.3,104.1,0,"A",4,1,1,222,264,1321,"larg","A","Q1",0,0,0,0,0,0,0,0,235.9,1,0,1,28,"A",1,0.2305,0.1153,72.1787,27.2133,0.0519,0.1873,0,0,0,0,0.0086,0,90.2424,0,3.4749,0,0,86.7675,95.8307,180,170.7265,0,100,8.9476,4.2589,104.0695,59.2953,60.3898,0,0,20.2781,52.3405,14.18,139.265,2.42,33.195,94.4444,5.5556,0,0,60.3898,59.2953,104.0695,194,743720,3.3329,-0.8616
"2017-12-13 20:14:26",910,1,136.6,6,65.3,71.3,0,67,65.1,144.7,0,"A",5,1,1,224,266,1321,"jumb","A","Q1",0,0,0,0,0,0,0,0,237.4,1,0,1,28,"A",1,0.4042,0.1132,73.6071,25.4481,0.127,0.2795,0,0,0,0,0.0092,0,283.5204,110.096,0,0,0,173.4244,97.562,177.4736,177.4426,0,100,5.9714,2.4671,144.7322,65.0861,67.0459,0,0,3.8944,72.4659,13.08,132.08,0,34.85,95.2381,4.7619,0,0,67.0459,65.0861,144.7322,196,743722,3.67,0.4579
"2017-12-13 20:14:26",914,1,103.2,24.5,39.35,63.85,0,60.6,59.2,107.9,0,"A",4,1,1,228,270,1321,"larg","A","Q1",0,0,0,0,0,0,0,0,235.9,1,0,1,28,"A",1,0.4424,0.0737,77.3624,21.9767,0.0199,0.1134,0,0,0,0,0.0057,0,150.7077,0,0,0,0,150.7077,97.2559,174.6359,163.341,0,100,6.7854,2.7804,107.9408,59.1954,60.5817,0,0,22.7934,40.6231,13.05,162.065,5.11,32.67,100,0,0,0,60.5817,59.1954,107.9408,200,743726,3.2088,-1.419
"2017-12-13 20:14:27",915,1,137.8,12.8,62.5,75.3,0,67.4,65.6,146,0,"A",5,1,1,229,271,1321,"jumb","A","Q1",0,0,0,0,0,0,0,0,236,1,0,1,28,"A",1,0.3209,0.1288,70.9515,27.4578,0.958,0.1152,0.0475,0,0,0,0.009,0,190.9052,0,3.9475,0,0,186.9576,95.99,180,164.8164,0,88.7956,6.4194,4.0957,146.039,65.561,67.4087,0,0,5.0071,85.0872,13.31,167.525,0,24.425,84.2105,15.7895,0,0,67.4087,65.561,146.039,201,743727,4.2551,-2.3846
"2017-12-13 20:14:27",920,1,119.9,24.2,47.85,72.05,0,65.3,64.4,127.2,0,"A",5,1,1,234,276,1321,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.9,1,0,1,28,"A",1,0.3738,0.0822,75.6479,23.4649,0.3439,0.015,0.0648,0,0,0,0,0,392.2442,0,16.6552,0,0,375.589,95.0896,180,167.6555,0,91.0689,11.9868,4.0445,127.1752,64.4165,65.2558,0,0,4.2898,72.1856,12.335,176.08,5.14,29.475,94.7368,0,0,5.2632,65.2558,64.4165,127.1752,206,743732,5.0194,-2.1128
"2017-12-13 20:14:27",922,1,119.5,26.5,46.5,73,0,65.2,62.6,128.1,0,"A",5,1,1,236,278,1321,"jumb","A","Q1",0,0,0,0,0,0,0,0,236,1,0,1,28,"A",1,0.37,0.0825,73.517,25.5106,0.39,0.1,0.015,0,0,0,0.005,0,226.1189,53.2118,18.0821,0,0,154.8249,93.8548,180,170.5396,0,100,6.7362,6.3403,128.0571,62.6019,65.1921,0,0,4.3038,80.704,12.865,172.91,5.73,26.085,100,0,0,0,65.1921,62.6019,128.0571,208,743734,4.5451,-1.946
"2017-12-13 20:14:27",923,1,106.6,16.7,44.95,61.65,0,60.5,57.1,109.4,0,"A",4,1,1,237,279,1321,"larg","A","Q1",0,0,0,0,0,0,0,0,235.9,1,0,1,28,"A",1,0.1156,0.0633,71.8088,22.782,4.9247,0.2918,0,0,0,0,0.0055,0,315.0484,80.1291,23.2021,0,0,211.7172,92.6139,180,174.544,0,100,6.5455,7.6673,109.4025,57.05,60.5323,0,0,1.4072,83.7957,13.82,133.135,0.68,32.67,100,0,0,0,60.5323,57.05,109.4025,209,743735,3.989,-2.7258
