Batch Information
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode
"2017-12-04 18:05:56",931,"P 43","Roose","16_17","2017-12-04 10:03:49","2017-12-04 18:05:57","Pro 43 92 E Nova ",26,931,"Disabled"

Fruit
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Red,Red/Orange,Dark Orange,Orange,Orange/Yellow,Yellow/Green,Green,Dark Green,Light Scar,Dark Scar,Start of Batch,Conveyor,Texture,Overall Roundness,Trapeziod Angle (Deg),Stem angle,Stem Area,Smoothness,Flatness,Elongation,Volume (ml),Minor Diameter (mm),Major Diameter (mm),Touching Factor,Double Factor,Calyx size,Stem Size,Major Diameter (mm)_duplicate_column_1,Minor Diameter (mm)_duplicate_column_1,Volume (ml)_duplicate_column_1,Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
"2017-12-04 18:06:14",339,1,144.7,22.3,61.2,83.5,0,71.7,69.4,176.7,3,"D",6,4,1,255,47,931,"mamm","Star","Q1",0,0,0,0,0,0,0,0,231,1,0,1,28,"D",1,0.0122,0,0,0,0,0.002,0,0,0.9064,0.1118,98.9615,0,5675.4326,96.794,180,180,0,56.1934,6.6575,3.2633,176.7115,69.3518,71.6526,0,0,0,0,71.6526,69.3518,176.7115,227,72831,-0.4545,-2.064
"2017-12-04 18:07:21",837,1,130.4,19.7,55.35,75.05,0,68.2,64,139.3,0,"A",5,1,1,241,211,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.9,1,0,1,28,"A",1,2.8652,0,87.4962,3.5103,0.0188,4.8428,1.1772,0,0,0,0.0824,0,458.1997,91.8609,180,180,0,73.6688,14.6221,6.4713,139.2771,63.9509,68.2278,0,0,0,0,68.2278,63.9509,139.2771,213,73329,2.8425,-2.7916
"2017-12-04 18:07:21",840,1,157.2,21.4,67.9,89.3,0,70.9,67.7,160.7,0,"A",6,1,1,244,214,931,"mamm","Smoo","Q1",0,0,0,0,0,0,0,0,230.8,1,0,1,28,"A",1,2.8202,0.0021,92.5246,4.1095,0.1604,0.3437,0.0292,0,0,0,0,0,562.0302,94.374,180,180,0,85.4753,17.0692,4.6152,160.7384,67.6608,70.8573,0,0,0,0,70.8573,67.6608,160.7384,216,73332,4.3391,-2.7793
"2017-12-04 18:07:21",842,1,114.9,35.4,39.75,75.15,0,65.3,61.3,115.7,0,"A",5,1,1,246,216,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.7,1,0,1,28,"A",1,1.9796,0.0026,79.58,17.7377,0.097,0.5008,0.0341,0,0,0.0052,0.0446,0,450.4469,90.4616,180,180,0,79.7344,21.904,6.3383,115.7139,61.2723,65.2831,0,0,0,0,65.2831,61.2723,115.7139,218,73334,2.8682,-3.6847
"2017-12-04 18:07:22",846,1,117.4,16.5,50.45,66.95,0,64.1,62.1,120.3,0,"A",5,1,1,250,220,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.7,1,0,1,28,"A",1,1.5123,0.0052,87.2478,10.8291,0.0968,0.2459,0.0523,0,0,0,0,0,743.0694,93.8727,180,180,0,91.8415,16.0515,3.2649,120.2571,62.0792,64.1397,0,0,0,0,64.1397,62.0792,120.2571,222,73338,4.5456,-2.4895
"2017-12-04 18:07:23",854,1,151.2,-15.4,83.3,67.9,0,72.4,68.9,164.8,0,"A",6,1,1,2,228,931,"mamm","Smoo","Q1",0,0,0,0,0,0,0,0,232.2,1,0,1,28,"A",1,3.0064,0.002,89.7609,5.53,0.0163,1.1875,0.3911,0,0,0,0.0998,0,481.4035,92.6346,180,180,0,91.8767,23.5978,5.0192,164.8193,68.8761,72.4222,0,0,0,0,72.4222,68.8761,164.8193,230,73346,4.5619,-1.9392
"2017-12-04 18:07:23",855,1,101.7,20,40.85,60.85,0,62.3,59.8,108,0,"A",4,1,1,3,229,931,"larg","Smoo","Q1",0,0,0,0,0,0,0,0,230.5,1,0,1,28,"A",1,0.949,0.0028,71.3366,27.1428,0.2386,0.3163,0,0,0,0,0,0,532.6015,93.3105,180,180,0,85.5283,13.6799,4.1792,107.9855,59.7686,62.3198,0,0,0,0,62.3198,59.7686,107.9855,231,73347,3.8627,-3.1701
"2017-12-04 18:07:23",856,1,117.3,17.6,49.85,67.45,0,65.3,59.4,117.7,0,"A",5,1,1,4,230,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.9,1,0,1,28,"A",1,1.8995,0,73.3882,24.1171,0.1325,0.1897,0.0078,0,0,0.0987,0.1507,0,568.9069,90.9268,180,180,0,81.6731,6.9949,9.5079,117.7172,59.3899,65.3185,0,0,0,0,65.3185,59.3899,117.7172,232,73348,3.3214,1.0364
"2017-12-04 18:07:23",857,1,93.9,18.7,37.6,56.3,0,59.8,57.7,99.8,0,"A",4,1,1,5,231,931,"larg","Smoo","Q1",0,0,0,0,0,0,0,0,230.6,1,0,1,28,"A",1,0.7501,0.003,77.1824,21.1918,0.5529,0.248,0.0538,0,0,0.006,0,0,424.9825,94.8061,180,180,0,91.349,10.613,3.6328,99.7929,57.6555,59.7887,0,0,0,0,59.7887,57.6555,99.7929,233,73349,3.5514,-4.3827
"2017-12-04 18:07:24",860,1,144.8,4.7,70.05,74.75,0,69.3,65,148.6,0,"A",5,1,1,8,234,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,231.9,1,0,1,28,"A",1,2.6767,0,69.95,8.9466,0,17.5877,0.8302,0,0,0,0,0,483.3389,93.4114,180,180,0,78.2663,10.0509,6.3312,148.6312,65.0083,69.2587,0,0,0,0,69.2587,65.0083,148.6312,236,73352,3.6728,-2.2212
"2017-12-04 18:07:24",861,1,168,18.7,74.65,93.35,0,72.3,69.5,173,0,"A",6,1,1,9,235,931,"mamm","Smoo","Q1",0,0,0,0,0,0,0,0,230.7,1,0,1,28,"A",1,1.9629,0,69.1417,25.2566,0.1176,2.5049,1.0064,0,0,0,0,0,503.4317,94.9168,180,180,0,80.3567,14.7585,3.8318,173.0474,69.5432,72.2601,0,0,0,0,72.2601,69.5432,173.0474,237,73353,4.2796,-1.3603
"2017-12-04 18:07:24",862,1,106.3,16.7,44.8,61.5,0,62.5,58.7,110.7,0,"A",4,1,1,10,236,931,"larg","Smoo","Q1",0,0,0,0,0,0,0,0,230.6,1,0,1,28,"A",1,3.0556,0,81.1762,0.512,0,12.0691,3.1569,0,0,0.0027,0.0137,0,932.2889,94.0172,180,180,0,90.4748,7.25,6.3678,110.7298,58.6793,62.5388,0,0,0,0,62.5388,58.6793,110.7298,238,73354,2.7329,-0.1561
"2017-12-04 18:07:24",863,1,155.3,16,69.65,85.65,0,73.2,70.2,176.1,0,"A",6,1,1,11,237,931,"mamm","Smoo","Q1",0,0,0,0,0,0,0,0,230.7,1,0,1,28,"A",1,2.3451,0,89.0943,7.4105,0.0102,0.8999,0.207,0,0,0.0041,0.0164,0,1068.7391,93.4142,180,180,0,87.7264,16.46,4.2466,176.0832,70.1657,73.21,0,0,0,0,73.21,70.1657,176.0832,239,73355,3.6584,-2.1549
"2017-12-04 18:07:24",865,1,145.1,12.8,66.15,78.95,0,69.6,65.9,149.9,0,"A",5,1,1,13,239,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.7,1,0,1,28,"A",1,2.2115,0,91.1166,5.4911,0.084,0.69,0.3914,0,0,0.0022,0.0044,0,784.5999,92.7855,180,180,0,79.056,18.145,5.4847,149.8559,65.9012,69.6176,0,0,0,0,69.6176,65.9012,149.8559,241,73357,2.3401,-3.2287
"2017-12-04 18:07:25",869,1,135.4,29.7,52.85,82.55,0,68.1,65,140.4,0,"A",5,1,1,17,243,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.9,1,0,1,28,"A",1,0.9966,0.0094,86.8344,11.7732,0.205,0.1367,0,0,0,0,0.0377,0,482.7436,92.5112,180,180,0,88.1424,16.6155,4.7715,140.435,64.9592,68.1345,0,0,0,0,68.1345,64.9592,140.435,245,73361,2.1988,-3.8945
"2017-12-04 18:07:25",871,1,155.9,18.8,68.55,87.35,0,70,67.3,159.9,0,"A",6,1,1,19,245,931,"mamm","Smoo","Q1",0,0,0,0,0,0,0,0,231.3,1,0,1,28,"A",1,1.276,0,73.4323,24.6644,0.1927,0.4261,0,0,0,0,0,0,490.3411,95.2245,180,180,0,87.4343,9.1795,4.0106,159.8784,67.289,70.043,3.8462,0,0,0,70.043,67.289,159.8784,247,73363,1.7719,-3.3928
