Batch Information
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode
"2017-11-14 17:25:33",840,"P 98","Glen Wright","10_03","2017-11-14 09:23:26","2017-11-14 17:25:35","#28 Pro 98 Lemons",28,840,"Disabled"

Fruit
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Dark Yellow,Yellow,Light Yellow,Light Green,Green,Dark Green,Scar,Start of Batch,Conveyor,Texture,Smoothness,Roundness,Vertical Diameter Stability,Stem Area,Curvature,Flatness,Lemon (Dark Yellow +),2nd Color Variation (Dark Yellow +),Major Diameter (mm),Minor Diameter (mm),Volume (ml),Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
"2017-11-14 17:25:50",195,1,146.8,40.4,53.2,93.6,0,71.7,72.3,192.4,7,"H",11,8,1,169,233,840,"75","H St","Q1",0,0,0,0,0,0,0,0,230.2,1,0,1,28,"H",1,0.0574,7.1601,0.1053,0.1665,0,0,0,92.505,0,6889.96,100,95.8833,16.6208,0,6.5149,3.169,139.5223,22.9576,71.6871,72.2523,192.3534,141,57987,3.9319,-2.3371
"2017-11-14 17:26:39",610,1,239.9,26.2,106.85,133.05,0,75.7,75.8,244,0,"A",12,1,1,72,314,840,"63","A","Q1",0,0,0,0,0,0,0,0,231.1,1,0,1,28,"A",1,0,28.2482,4.1319,67.0463,0.005,0,0.1984,0.3652,0,1590.3414,100,88.6916,5.0172,20.956,9.4528,5.7421,114.3888,19.7622,75.6655,75.8283,243.9901,44,58402,3.3904,-4.118
"2017-11-14 17:26:40",620,1,196.9,32.2,82.35,114.55,0,68.1,68.2,215.8,0,"A",11,1,1,82,324,840,"75","A","Q1",0,0,0,0,0,0,0,0,231.1,1,0,1,28,"A",1,0,0.45,2.5163,97.0194,0.0112,0,0,0,0,3783.7813,84.3002,72.154,1.7186,117.0365,2.8981,4.1293,50.5476,28.8522,68.1137,68.1905,215.7788,54,58412,2.6996,-0.8114
"2017-11-14 17:26:41",621,1,215.6,30.2,92.7,122.9,0,73.4,73.4,223.1,0,"A",12,1,1,83,325,840,"63","A","Q1",0,0,0,0,0,0,0,0,230.4,1,0,1,28,"A",1,0,18.7706,0.3209,79.9851,0.0407,0,0.7198,0.1596,0,1922.0392,100,86.8676,3.3973,44.2986,5.2732,5.7444,109.7742,30.6113,73.4098,73.3831,223.0796,55,58413,4.7245,-1.8654
"2017-11-14 17:26:41",622,1,342,38.4,151.8,190.2,0,84.9,85.1,371.7,0,"A",13,1,1,84,326,840,"Over","A","Q1",0,0,0,0,0,0,0,0,230.2,1,0,1,28,"A",1,0,22.3437,2.8102,74.0789,0.0091,0,0.2596,0.4945,0,2673.5889,87.7879,79.3324,2.4113,79.864,5.646,5.3153,103.9144,27.7356,84.9303,85.0631,371.7263,56,58414,5.4977,-4.2852
"2017-11-14 17:26:41",623,1,378.3,-1.5,189.9,188.4,0,86,86.2,396.1,0,"A",13,1,1,85,327,840,"Over","A","Q1",0,0,0,0,0,0,0,0,230.8,1,0,1,28,"A",1,0.0026,34.0447,1.8463,63.2418,0.0171,0,0.0407,0.8003,0,3688.5452,75.6376,78.9428,0.8376,83.6057,3.122,4.1318,117.4469,26.9071,85.9832,86.1717,396.1438,57,58415,3.6202,0.8415
"2017-11-14 17:26:41",624,1,128.2,22.4,52.9,75.3,0,63.5,64.5,135.9,0,"A",10,1,1,86,328,840,"95","A","Q1",0,0,0,0,0,0,0,0,230.8,1,0,1,28,"A",1,0,2.3503,0,97.6279,0.0097,0,0.0024,0.0049,0,806.4673,100,93.3385,12.5203,0,10.0738,6.0631,64.4612,21.2285,63.47,64.4639,135.8634,58,58416,4.4495,-0.3128
"2017-11-14 17:26:41",625,1,130.5,27.5,51.5,79,0,60.1,60.2,142.2,0,"A",9,1,1,87,329,840,"115","A","Q1",0,0,0,0,0,0,0,0,230.6,1,0,1,28,"A",1,0,0.9227,0,99.0248,0.0042,0,0,0.044,0,1222.9734,94.5971,71.1653,1.9064,110.8842,2.2834,5.0177,33.9673,7.5694,60.1059,60.1686,142.2062,59,58417,2.641,-1.3415
"2017-11-14 17:26:41",627,1,147.9,20.2,63.85,84.05,0,62,63,158.4,0,"A",9,1,1,89,331,840,"115","A","Q1",0,0,0,0,0,0,0,0,230.3,1,0,1,28,"A",1,0,0.0805,0,99.8967,0.0186,0,0,0,0,1093.2499,86.9418,77.9348,1.3516,48.8508,2.4743,5.1399,38.7316,6.5575,61.9834,63.0217,158.3691,61,58419,4.9414,-2.4744
"2017-11-14 17:26:42",629,1,280.6,38.1,121.25,159.35,0,80.6,80.5,295.1,0,"A",12,1,1,91,333,840,"63","A","Q1",0,0,0,0,0,0,0,0,230.7,1,0,1,28,"A",1,0.0045,34.0355,2.4409,62.852,0.0045,0,0.0331,0.6219,0,2040.0664,100,85.7264,3.4122,35.4474,5.896,5.9049,120.5731,26.8906,80.5888,80.5036,295.1454,63,58421,2.9061,-3.7456
