LR_Diff,RodPulse,RodIndex,SizeName,Red,Red/Orange,Dark Orange,Orange,Green,Scar,Texture,Blem,Dark Blem,Trapeziod Angle (Deg),Stem angle,Smoothness,Flatness,Elongation,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,Rough skin,Fruit Center X (mm),Fruit Center Y (mm)
35.7,240,34,72,0,0,0,0,0,5.7347,5351.9482,577.0512,3.5851,180,167.1846,100,4.1047,1.452,271.5602,774.8869,13.99,20.605,0,2.6893,-2.2368
33.6,10,182,72,0.0821,0.149,6.5755,92.0223,0.0153,0.6629,497.1714,9.5751,0,180,167.2853,100,3.4646,6.1942,1.674,269.2078,11.84,32.01,74.0741,4.4238,-3.5985
36.6,15,187,56,0.1039,0.2001,9.7995,88.2475,0,0.204,933.4637,30.8395,2.1875,180,162.7422,100,4.2257,3.6664,112.996,585.5748,11.495,32.33,67.8571,4.5075,-5.239
38.1,26,198,40,0.3929,0.4368,16.4902,81.9218,0.2078,0.2793,1309.7985,4.9444,14.7159,156.396,180,62.6669,5.0297,4.429,205.7188,578.3512,11.89,34.735,92.5926,2.7032,0.8197
39.1,30,202,40,0.3597,0.2155,12.6225,86.3907,0,0.0356,1234.3666,40.5629,3.0353,180,177.7695,100,5.9253,5.605,142.9441,579.0642,11.77,33.92,80.7692,4.2563,-2.3657
8,33,205,56,0.1613,0.3406,9.3458,88.1484,0.1308,0.3728,445.977,20.7636,0,180,150.1433,100,4.9337,3.7446,1.6345,405.9722,11.395,31.72,77.7778,3.2937,-2.5286
13.8,39,211,56,0.1218,0.3293,9.1016,89.7961,0.0838,0.316,1419.859,23.488,12.8228,180,175.9481,91.4624,9.4772,3.7957,86.9645,253.5595,11.52,33.295,100,2.3744,-3.0497
41.6,42,214,48,0.0945,0.168,8.1167,89.1679,0.007,0.1715,939.8261,4.0808,26.6673,180,170.7758,84.8194,5.3364,6.2342,87.2178,311.0551,11.315,32.39,59.2593,3.1734,-3.7447
-29.3,52,224,32,0.184,0.2146,13.2507,83.9707,0.0628,0.2205,1538.2806,185.0065,1.6265,180,171.5982,82.7274,6.8551,4.3232,1.9076,59.0481,10.66,36.23,84.6154,5.3248,-1.762
65.6,54,226,40,0.3055,0.3752,12.1073,84.2633,0.0534,0.2892,1113.1658,83.1646,6.414,180,149.5371,100,4.9883,10.116,168.197,641.0723,11.325,34.865,92.3077,2.7555,2.6498
10.4,56,228,56,0.2322,0.2643,14.5398,84.3991,0.0774,0.1661,654.0533,3.897,1.9069,180,167.5685,100,4.8016,3.6852,119.771,437.818,12.075,32.94,73.0769,2.6891,-4.85
39.9,62,234,48,0.1751,0.2232,10.0022,88.7119,0,0.0755,857.3968,43.0941,11.8053,180,160.6617,100,11.4286,6.5216,4.1695,468.7014,10.845,36.19,96.2963,0.6641,-1.1379
41.1,66,238,48,0.1516,0.1722,12.765,86.67,0.0517,0.0999,793.3963,36.1378,1.6211,180,159.9986,75.8247,4.0044,4.3095,136.7121,320.6633,11.9,33.7,100,2.654,-3.6987
31,67,239,48,0.0274,0.209,7.249,91.1594,0.1422,0.4437,1120.0005,201.8731,24.2781,180,167.3495,66.9015,7.296,10.9806,197.829,334.5181,11.19,33.275,88.4615,2.0459,-2.8466
11.5,68,240,56,0.0362,0.1753,6.3049,92.0203,0.0076,0.2648,540.8046,8.7873,3.2788,180,156.8253,90.4883,4.6876,3.7093,193.7216,255.4223,11.12,33.045,66.6667,1.8962,-2.2978
30,72,244,48,0.4272,0.5332,12.5167,84.1253,0.0642,0.4015,1032.7605,71.2155,18.664,180,177.0072,91.2576,7.5104,8.583,254.929,720.2507,11.65,33.635,100,1.5735,1.0539
19.9,78,250,72,0.064,0.1492,9.2456,89.866,0.247,0.2363,497.7873,1.9214,1.0979,180,180,83.9907,3.5548,12.3977,131.1272,281.78,11.755,33.6,19.2308,2.5637,-2.9759
2.5,82,254,48,0.1014,0.2138,13.6682,85.1201,0.038,0.1172,1531.1317,85.5577,10.8087,180,180,100,6.4745,7.375,194.012,305.1687,11.12,34.49,77.7778,2.9154,-0.484
-1.6,83,255,36,0.0703,0.1177,8.9503,89.5842,0,0.1131,1230.7882,130.1356,3.8335,180,149.4628,71.9946,5.9824,4.5649,8.5756,96.4854,11.14,30.24,88.8889,4.7749,-6.3885
17.3,85,257,48,0.1646,0.251,9.4195,89.029,0.1271,0.1842,453.6311,19.6095,6.5037,180,142.0786,21.6999,10.0403,5.2742,174.9408,417.4786,11.215,33.645,73.0769,0.9211,-1.7445
26,87,259,56,0.099,0.1536,10.1654,88.3207,0.2133,0.2475,467.5523,38.1859,5.5079,180,159.8012,80.401,8.126,10.6821,243.616,411.5732,11.775,33.92,70.3704,1.9616,1.6933
-4.9,89,261,56,0.1485,0.1763,7.1777,91.5233,0,0.0946,553.8146,0.2724,0,180,171.0679,100,4.8251,1.8933,190.6862,453.0414,11.065,35.185,74.0741,2.4773,-0.8443
13.8,92,264,72,0.0079,0.1107,2.0118,86.8108,0,2.2647,349.0767,97.7815,6.3035,180,172.813,88.9033,6.2321,3.1757,209.0617,333.0288,9.9,30.56,67.8571,2.5189,-0.5165
12.5,98,270,56,0.0778,0.1964,5.2788,93.6818,0.0037,0.1408,535.4181,12.9409,0,180,163.6961,94.0452,4.9382,8.6268,64.7266,210.4306,10.9,35.08,22.2222,5.3421,-3.1438
25.7,100,272,56,0.0743,0.141,6.5285,92.7724,0.0267,0.24,479.5203,21.0826,0,180,178.4406,93.1248,5.7657,2.5644,63.519,353.9959,10.895,35.705,61.5385,2.4749,-0.7539
44.3,101,273,40,0.0371,0.0989,8.5758,89.9655,0.258,0.5563,938.8108,50.4806,4.3103,180,180,93.8027,7.7151,11.7516,245.9037,482.1889,10.96,35.505,74.0741,3.5649,-1.8711
29,107,279,48,0.2316,0.2525,10.8712,87.4362,0.0905,0.4998,1259.1028,15.0139,71.4617,180,180,100,6.837,3.9369,217.7784,550.2906,11.89,33.78,55.5556,3.5468,-1.5059
24.3,109,281,56,0.1856,0.258,9.3334,89.4232,0.0779,0.3025,485.1614,4.9257,1.3682,165.7128,180,100,4.8443,2.6174,183.9523,402.559,11.905,33.54,40.7407,2.2286,-1.788
32.4,112,284,40,0.284,0.3328,11.647,86.6554,0.0061,0.1893,1187.0438,46.0322,8.5855,180,180,94.6637,5.0752,5.4727,170.9464,448.3122,11.87,33.26,100,4.112,-3.228
21.2,114,286,56,0.3157,0.6071,9.6451,88.9501,0.0075,0.1065,914.7385,34.9122,0.2775,180,153.0647,100,6.7664,4.1593,235.024,290.2882,11.665,33.29,84.6154,1.1303,-4.5658
26.4,123,295,72,0.1152,0.196,8.1823,89.9242,0,0.2364,352.0014,1.9244,5.7731,180,166.6735,100,3.8581,3.9667,85.0898,298.7802,11.87,33.215,22.2222,3.3758,-3.8452
18.2,124,296,56,0.1009,0.1706,11.0382,87.3774,0.0367,0.1632,490.5788,36.4164,7.0667,180,169.6869,100,6.7764,3.8739,234.7104,457.4978,11.385,34.425,62.963,3.2033,-2.0486
14,125,297,48,0.0439,0.1142,9.5406,89.4071,0.007,0.1704,902.3887,113.8315,2.1744,180,162.6531,100,4.3293,3.9158,79.3648,467.4699,11.585,32.725,100,3.1324,-2.5691
